10001,0
10003,5500
10007,0
10025,0
10034,0
10039,15790
10040,0
10059,0
10061,0
10064,0
10068,0
10077,57154
10079,0
10081,0
10105,0
10110,0
10114,0
10128,19565
10131,0
10138,11800
10139,0
10140,0
10141,0
10142,72308
10143,0
10147,0
10177,0
10180,14516
10194,24000
10197,10000
10204,0
10206,32000
10213,0
10215,0
10217,0
10219,18857
10227,0
10229,0
10232,0
10234,0
10237,0
10238,0
10249,0
10256,14580
10578,0
10602,39831
10603,0
10614,0
10627,0
10644,0
10653,0
10674,10783
10682,0
10684,0
10687,33214
10693,40000
10696,35604
10699,23736
10707,120135
10716,0
10717,55904
10719,0
10720,19590
10728,0
10730,0
10740,15000
10749,0
10778,0
10780,0
10792,0
10814,0
10857,0
10867,24858
10874,0
10891,0
10906,0
10911,0
10916,14000
10919,0
10945,17647
10946,17647
10948,17647
10959,30000
10968,15000
10969,42000
10975,20000
10976,0
10981,0
10982,15000
11005,20517
11014,0
11019,20500
11038,188429
11043,60000
11063,0
11078,25000
11079,0
11085,3000
11094,0
11104,50647
11123,24193
11135,57117
11147,0
11157,0
11159,0
11168,0
11213,0
11221,0
11235,0
11256,0
11282,25945
11283,0
11284,0
11300,0
11309,0
11317,0
11324,0
11333,20000
11339,55569
11381,10597
11416,0
11422,16071
11465,0
11477,0
11480,20000
11520,0
11564,0
11566,15000
11567,0
11583,22240
11586,0
11592,0
11608,0
11609,0
11610,0
11615,0
11626,150386
11653,0
11659,0
11661,0
11703,28571
11708,0
11716,22629
11725,57143
11744,0
11747,24291
11748,3100
11756,0
11828,0
11833,0
11842,15096
11847,0
11867,0
11872,0
11882,0
11884,0
11908,0
11918,0
11929,0
11940,0
11954,0
11958,0
12015,0
12019,15000
12026,0
12030,0
12039,0
12041,0
12042,0
12043,0
12045,0
12046,26087
12056,0
12068,0
12073,108702
12077,12000
12084,0
12088,0
12089,0
12092,0
12108,32851
12122,0
12144,16444
12148,21147
12172,0
12245,0
12251,15001
12274,0
12291,2366
12303,77857
12311,0
12328,221
12329,0
12336,0
12344,0
12356,0
12369,0
12410,0
12417,0
12442,0
12483,0
12500,17342
12511,0
12523,0
12541,0
12571,0
12607,0
12641,0
12664,0
12679,0
12716,0
12721,60622
12739,0
12762,15000
12771,3820
12772,4300
12775,4412
12776,3466
12779,2036
12792,0
12814,0
12815,0
12871,0
12878,0
12899,0
12900,29400
12921,19650
12951,0
12979,0
12983,0
13004,0
13035,19200
13060,0
13061,10000
13101,0
13113,18750
13140,0
13148,0
13170,0
13182,97992
13185,6267
13189,0
13203,0
13217,0
13218,0
13225,10714
13231,0
13242,0
13243,0
13252,0
13263,0
13279,0
13280,12600
13282,0
13284,0
13285,0
13287,0
13289,0
13295,14143
13300,0
13304,0
13307,0
13379,0
13383,0
13393,57904
13405,0
13407,0
13409,0
13411,14516
13455,0
13463,0
13468,0
13477,0
13480,18000
13501,0
13515,0
13519,20000
13520,0
13564,0
13591,25974
13619,0
13631,0
13635,17745
13668,22588
13674,0
13745,24926
13746,0
13755,0
13770,0
13773,0
13775,21428
13820,0
13836,0
13849,0
13883,14259
13943,12000
13953,6370
13991,0
18137412,0
18146941,0
18156067,12500
18156125,0
18171928,0
18211384,0
18226578,0
18236301,0
18238721,0
18244615,38710
18252564,4400
18257765,10751
18284385,0
18287095,0
18292672,0
18292683,38870
18304317,34252
18305801,0
18310167,0
18310169,0
18310175,0
18310180,0
18315278,28800
18315281,6161
18315296,0
18315308,0
18315732,22114
18326460,20927
18326480,0
18326493,4231
18332453,0
18335269,0
18335280,19286
18335285,0
18341529,0
18341533,0
18349080,0
18349085,52481
18349086,0
18349101,24000
18349108,0
18349110,27000
18349989,0
18349990,0
18349992,0
18350010,9310
18350016,199676
18350025,15546
18355906,7371
18361153,0
18361166,0
18361172,0
